latitude,longitude,Amenity
-33.9095175,150.9395583,Fast food
-33.9309416,150.9178706,Fast food
-33.93184947,150.9175388,Fast food
-33.90641475,150.9188295,Fast food
-33.9085817,150.9191899,Fast food
-33.92798862,150.8885111,Fast food
-33.90785905,150.9202771,Fast food
-33.9380336,150.8422895,Fast food
-33.9232485,150.8484836,Fast food
-33.9254711,150.8486659,Fast food
-33.9360141,150.8439725,Fast food
-33.9181935,150.8539733,Fast food
-33.92326504,150.8484973,Fast food
-33.9254964,150.8486744,Fast food
-33.91742133,150.8550825,Fast food
-33.9185868,150.8538358,Fast food
-33.8567985,150.8974515,Fast food
-33.87110676,150.9029748,Fast food
-33.8570276,150.8997241,Fast food
-33.886523,150.8893803,Fast food
-33.89429944,150.8912017,Fast food
-33.99624378,150.7902056,Fast food
-33.99673698,150.7906372,Fast food
-33.9048204,151.0647681,Fast food
-33.8922024,151.0664223,Fast food
-33.8948227,151.0667282,Fast food
-33.8917755,151.0577726,Fast food
-33.9009363,151.1199687,Fast food
-33.9048836,151.1280479,Fast food
-33.9131327,151.1042121,Fast food
-33.91877912,151.0664415,Fast food
-33.9263604,151.0585346,Fast food
-33.9244531,151.0556127,Fast food
-33.92815344,151.0785547,Fast food
-33.93154284,151.0578544,Fast food
-33.92582494,151.0866942,Fast food
-33.92640962,151.0846813,Fast food
-33.9003977,150.998905,Fast food
-33.901729,150.9998277,Fast food
-33.907022,151.0233484,Fast food
-33.9286622,150.9814994,Fast food
