Charging location,Number of plugs,Number of plugs in 2023,Number of plugs in 2026,Number of plugs in 2031,Zone substation installed capacity in 2023 (MVA),Zone substation available capacity in 2023 (MVA),Zone (km),Type,Latitude,Longitude,Time
"Nyngan, NSW",4,4,4,4,10,1.1,20km,Journey enablement,-31.55015706,147.1762086,1/01/2025
"Bourke, NSW",4,4,4,4,10,2.9,20km,Journey enablement,-30.09331095,145.9429621,1/01/2025
"Walgett, NSW",4,4,4,5,10,5.1,20km,Journey enablement,-30.0224736,148.1164745,1/01/2025
"Moree, NSW",4,4,4,19,30,10.9,20km,Journey enablement,-29.46292196,149.8357509,1/01/2025
"Glen innes, NSW",4,4,4,5,20,11.9,20km,Journey enablement,-29.73747398,151.7383796,1/01/2025
"Willow Tree, NSW",4,4,4,6,13.3,6.5,20km,Journey enablement,-31.63710229,150.7227959,1/01/2025
"Narrandera, NSW",4,4,4,7,16,2,20km,Journey enablement,-34.74012302,146.5559219,1/01/2025
"Mittagong-Bowral, NSW",5,4,8,43,25,7.19,10km,Major towns,-34.45081557,150.4489285,1/01/2025
"Cooma,NSW",4,4,4,11,20,7.1,20km,Journey enablement,-36.23450396,149.1268611,1/01/2025
"Cowra,NSW",4,4,4,19,30,8.5,20km,Journey enablement,-33.83453885,148.6812105,1/01/2025
"Parkes, NSW",4,4,4,17,30,10.4,20km,Journey enablement,-33.14172239,148.1720098,1/01/2025
"West wyalong, NSW",4,4,4,5,8,-1.1,20km,Journey enablement,-33.91874404,147.1935743,1/01/2025
"Gilgandra,NSW",4,4,4,6,12,5,20km,Journey enablement,-31.69868028,148.6651375,1/01/2025
"Muswellbrook,NSW",4,4,4,16,47.64,21.83,20km,Journey enablement,-32.27879643,150.8982537,1/01/2025
"Pooncarie, NSW",4,4,4,4,8,5.1,20km,Journey enablement,-33.38528348,142.5701108,1/01/2025
"Menindee, NSW",4,4,4,4,5,4,20km,Journey enablement,-32.39567165,142.4132163,1/01/2025
"Ivanhoe, NSW",4,4,4,4,1,-0.1,20km,Journey enablement,-32.9001224,144.3005299,1/01/2025
"Hillston, NSW",4,4,4,4,16,2.7,20km,Journey enablement,-33.48682563,145.5327784,1/01/2025
"Condobolin, NSW",4,4,4,4,10,1.5,20km,Journey enablement,-33.08801497,147.1521962,1/01/2025
"Jerilderie, NSW",4,4,4,8,10,6.3,20km,Journey enablement,-35.35527235,145.723215,1/01/2025
"Balranald, NSW",4,4,4,4,10,6.1,20km,Journey enablement,-34.64220389,143.5671508,1/01/2025
"Coonamble, NSW",4,4,4,4,10,3.8,20km,Journey enablement,-30.95759161,148.3884464,1/01/2025
"Dunedoo, NSW",4,4,4,4,10,4.5,20km,Journey enablement,-32.01615914,149.3979499,1/01/2025
"Inverell, NSW",4,4,4,15,30,7.9,20km,Journey enablement,-29.77427023,151.1109517,1/01/2025
"Barraba, NSW",4,4,4,4,5,2.4,20km,Journey enablement,-30.38247195,150.6096493,1/01/2025
"Temora, NSW",4,4,4,15,10,1.9,20km,Journey enablement,-34.44663402,147.5342991,1/01/2025
"Gundagai, NSW",4,4,4,16,8,1.8,20km,Journey enablement,-35.06151192,148.101348,1/01/2025
"Maclean, NSW",4,4,4,23,16,7,20km,Journey enablement,-29.46060498,153.2017825,1/01/2025
"Molong, NSW",4,4,4,7,4,-0.5,20km,Journey enablement,-33.09428677,148.8656758,1/01/2025
"Hermidale, NSW",4,4,4,4,10,1.1,20km,Journey enablement,-31.54825577,146.7243633,1/01/2025
"Emmdale, NSW",4,4,4,4,5,4.1,20km,Journey enablement,-31.65323367,144.2682742,1/01/2025
"Bilpin, NSW",4,4,4,4,15,0.68,20km,Journey enablement,-33.4979667,150.5213474,1/01/2025
"Little Topar, NSW",4,4,4,4,1.5,0.2,20km,Journey enablement,-31.7798724,142.2273978,1/01/2025
"Coolabah ,NSW",4,4,4,4,10,1.1,20km,Journey enablement,-31.0252105,146.7134536,1/01/2025
